"algo","compressed-oops","dry-mode","jvm","size","tag","threads","-","count","mean","stdDev"
"CMS_DefNew","off","false","hs6u43","1.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","548.8039867109635","53.58482688050522"
"CMS_DefNew","off","false","hs6u43","1.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","529.5016611295681","44.842035377260785"
"CMS_DefNew","off","false","hs6u43","1.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","492.98338870431894","39.35353504759905"
"CMS_DefNew","off","false","hs6u43","1.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","570.4551495016611","40.926181197"
"CMS_DefNew","off","false","hs6u43","1.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","508.4485049833887","60.52956916757358"
"CMS_DefNew","off","false","hs6u43","2.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","765.6910299003322","78.82122135661609"
"CMS_DefNew","off","false","hs6u43","2.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","765.3621262458472","82.21084488926004"
"CMS_DefNew","off","false","hs6u43","2.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","709.2259136212624","58.20928668227344"
"CMS_DefNew","off","false","hs6u43","2.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","761.4883720930233","85.49300469338246"
"CMS_DefNew","off","false","hs6u43","2.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","788.4983388704319","112.2820258077836"
"CMS_DefNew","off","false","hs6u43","3.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","829.4617940199336","37.540091996164485"
"CMS_DefNew","off","false","hs6u43","3.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","914.0830564784053","101.39234874492973"
"CMS_DefNew","off","false","hs6u43","3.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","783.6744186046511","57.605950142078896"
"CMS_DefNew","off","false","hs6u43","3.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","715.0797342192691","54.82312502770244"
"CMS_DefNew","off","false","hs6u43","3.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","686.2292358803986","52.71433648931953"
"CMS_DefNew","off","false","hs6u43","4.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1005.9468438538206","79.26110493690797"
"CMS_DefNew","off","false","hs6u43","4.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","934.5747508305648","67.95072398965814"
"CMS_DefNew","off","false","hs6u43","4.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1087.5514950166114","61.686983174033486"
"CMS_DefNew","off","false","hs6u43","4.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","867.3289036544851","66.69483332676988"
"CMS_DefNew","off","false","hs6u43","4.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","904.8803986710964","50.02755700253348"
"CMS_DefNew","off","false","hs6u43","8.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1164.7209302325582","114.81026610508894"
"CMS_DefNew","off","false","hs6u43","8.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1157.6677740863788","94.73948854128963"
"CMS_DefNew","off","false","hs6u43","8.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1169.8837209302326","94.92205108141928"
"CMS_DefNew","off","false","hs6u43","8.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1099.0697674418604","65.52495745475657"
"CMS_DefNew","off","false","hs6u43","8.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1084.235880398671","58.14240315658643"
"CMS_DefNew","off","false","hs6u43","12.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1221.827242524917","108.15263940685206"
"CMS_DefNew","off","false","hs6u43","12.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1256.3156146179401","99.84840696838414"
"CMS_DefNew","off","false","hs6u43","12.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1218.5083056478406","133.78560760204277"
"CMS_DefNew","off","false","hs6u43","12.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1291.6611295681064","90.86756884148821"
"CMS_DefNew","off","false","hs6u43","12.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1273.8471760797343","103.99167756918436"
"CMS_DefNew","off","false","hs6u43","16.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1414.6212624584718","80.40170788586636"
"CMS_DefNew","off","false","hs6u43","16.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1325.7940199335549","133.4881535579786"
"CMS_DefNew","off","false","hs6u43","16.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1325.421926910299","98.7046908592302"
"CMS_DefNew","off","false","hs6u43","16.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1314.7707641196014","98.80366085198855"
"CMS_DefNew","off","false","hs6u43","16.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1413.9335548172758","93.22684567480003"
"CMS_DefNew","off","false","hs6u43","20.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1247.063122923588","69.4000823542658"
"CMS_DefNew","off","false","hs6u43","20.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1526.7607973421927","112.09352966779097"
"CMS_DefNew","off","false","hs6u43","20.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1477.0431893687708","136.4058147860134"
"CMS_DefNew","off","false","hs6u43","20.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1518.126245847176","136.7001860738202"
"CMS_DefNew","off","false","hs6u43","20.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1381.4451827242524","106.70925421567641"
"CMS_DefNew","off","false","hs6u43","24.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1261.1594684385382","132.75541852553602"
"CMS_DefNew","off","false","hs6u43","24.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1515.1661129568106","63.38014021700843"
"CMS_DefNew","off","false","hs6u43","24.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1387.249169435216","84.81044551672557"
"CMS_DefNew","off","false","hs6u43","24.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1483.750830564784","114.33474070117036"
"CMS_DefNew","off","false","hs6u43","24.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1394.016611295681","101.13237463417909"
"CMS_DefNew","off","false","hs6u43","28.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1457.624584717608","111.31763803840009"
"CMS_DefNew","off","false","hs6u43","28.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1380.0398671096345","81.35038693087452"
"CMS_DefNew","off","false","hs6u43","28.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1567.2591362126245","62.29102705110451"
"CMS_DefNew","off","false","hs6u43","28.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1567.8006644518273","97.9765386498432"
"CMS_DefNew","off","false","hs6u43","28.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1578.2059800664451","54.13301045925266"
"CMS_DefNew","off","false","hs6u43","32.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1577.8006644518273","100.34925786659103"
"CMS_DefNew","off","false","hs6u43","32.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1495.920265780731","122.45780460319709"
"CMS_DefNew","off","false","hs6u43","32.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1518.7043189368771","82.75651120884503"
"CMS_DefNew","off","false","hs6u43","32.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1353.7242524916944","149.7063139674367"
"CMS_DefNew","off","false","hs6u43","32.0","hs6u43 CMS_DefNew pthreads:1 coops:off","1","","301","1637.9435215946844","86.0746805442092"
"CMS_ParNew","off","false","hs6u43","1.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","518.0830564784053","59.08760666239455"
"CMS_ParNew","off","false","hs6u43","1.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","564.3687707641196","50.35680221894704"
"CMS_ParNew","off","false","hs6u43","1.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","575.4318936877077","45.46824870830153"
"CMS_ParNew","off","false","hs6u43","1.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","487.00996677740864","21.878626996866156"
"CMS_ParNew","off","false","hs6u43","1.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","569.704318936877","44.176130578722024"
"CMS_ParNew","off","false","hs6u43","2.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","762.6112956810631","101.27941550630158"
"CMS_ParNew","off","false","hs6u43","2.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","744.5614617940199","72.19745242090671"
"CMS_ParNew","off","false","hs6u43","2.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","751.1627906976744","106.71838656365783"
"CMS_ParNew","off","false","hs6u43","2.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","769.0531561461794","53.8286672102032"
"CMS_ParNew","off","false","hs6u43","2.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","757.1362126245847","59.51725552524353"
"CMS_ParNew","off","false","hs6u43","3.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","772.9900332225914","84.00943172210683"
"CMS_ParNew","off","false","hs6u43","3.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","745.4916943521595","81.32035883824544"
"CMS_ParNew","off","false","hs6u43","3.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","868.9269102990033","71.61971350273991"
"CMS_ParNew","off","false","hs6u43","3.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","876.531561461794","81.47422701889185"
"CMS_ParNew","off","false","hs6u43","3.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","915.1694352159468","56.8584054336023"
"CMS_ParNew","off","false","hs6u43","4.0","hs6u43 CMS_ParNew pthreads:1 coops:off","1","","301","971.4617940199336","75.87384201705734"
