"coops","dry-mode","gc.algo","gc.threads","heap.old","jvm","-","host","pause.avg","pause.count","pause.sdev","pause.sqtotal","pause.total"
"false","true","cms","16","12","hs7u15","","longmrdfappd3","34.02992518703242","401","4.43732774882731","472268","13646"
"true","true","cms","32","1.5","hs7u15","","longmrdfappd3","5.85785536159601","401","4.383401517869459","21465","2349"
"false","false","cms","32","16","hs7u15","","longmrdfappd1","161.64588528678306","401","11.419643978920261","10530180","64820"
"true","false","cms","24","4","hs7u15","","longmrdfappd2","163.48129675810475","401","6.2707231951932","10732948","65556"
"false","true","cms","8","0.7","hs7u15","","longmrdfappd1","4.2643391521197005","401","2.674335422084101","10160","1710"
"true","true","cms","4","4","hs7u15","","longmrdfappd2","42.21197007481297","401","0.7589573889924924","714753","16927"
"false","false","cms","48","4","hs7u15","","longmrdfappd3","122.25187032418953","401","6.495646172256705","6010073","49023"
"true","true","cms","16","1.5","hs7u15","","longmrdfappd2","5.907730673316708","401","7.156181785206724","34531","2369"
"true","true","cms","16","12","hs7u15","","longmrdfappd3","34.54114713216958","401","8.811063532817672","509561","13851"
"true","false","cms","32","12","hs7u15","","longmrdfappd1","184.9077306733167","401","11.34184163432626","13762122","74148"
"false","true","cms","48","8","hs7u15","","longmrdfappd3","16.945137157107233","401","6.520788360431356","132193","6795"
"false","false","cms","16","8","hs7u15","","longmrdfappd2","188.8229426433915","401","7.742171482925344","14321332","75718"
"false","true","cms","16","1","hs7u15","","longmrdfappd3","4.753117206982544","401","7.742192367288347","33096","1906"
"false","false","cms","4","8","hs7u15","","longmrdfappd1","489.74064837905235","401","32.16405218479483","96593052","196386"
"true","true","cms","8","0.7","hs7u15","","longmrdfappd1","4.366583541147132","401","5.059031138319098","17909","1751"
"true","false","cms","16","8","hs7u15","","longmrdfappd2","242.74064837905237","401","8.820321615171867","23659329","97339"
"true","true","cms","24","4","hs7u15","","longmrdfappd2","10.119700748129675","401","4.834480881825123","50438","4058"
